0	87
1	20
2	51
3	1
4	43
5	68
6	110
7	95
8	81
9	88
10	39
11	70
12	102
13	1
14	76
15	62
16	86
17	120
18	34
19	116
20	90
21	111
22	73
23	69
24	86
25	67
26	71
27	1
28	91
29	1
30	91
31	85
32	61
33	100
34	106
35	38
36	54
37	70
38	84
39	22
40	10
41	72
42	69
43	90
44	97
45	109
46	117
47	114
48	119
49	42
50	102
51	137
52	78
53	49
54	71
55	93
56	1
57	90
58	51
59	41
60	86
61	112
62	77
63	103
64	116
65	87
66	89
67	62
68	121
69	111
70	53
71	88
72	64
73	119
74	91
75	96
76	50
77	16
78	32
79	87
80	88
81	85
82	42
83	1
84	61
85	78
86	76
87	96
88	6
89	67
90	65
91	73
92	66
93	83
94	95
95	74
96	43
97	44
98	71
99	6
100	122
101	83
102	67
103	2
104	88
105	61
106	115
107	1
108	89
109	88
110	77
111	15
112	1
113	73
114	113
115	96
116	107
117	96
118	62
119	44
120	56
121	65
122	42
123	112
124	86
125	37
126	106
127	8
128	108
129	84
130	34
131	97
132	94
133	92
134	62
135	109
136	1
137	58
138	79
139	90
140	62
141	2
142	54
143	11
144	100
145	82
146	85
147	84
148	64
149	47
150	70
151	1
152	107
153	87
154	85
155	121
156	90
157	101
158	69
159	69
160	67
161	68
162	119
163	90
164	71
165	87
166	57
167	58
168	33
169	1
170	70
171	10
172	17
173	96
174	59
175	92
176	63
177	5
178	71
179	1
180	60
181	70
182	104
183	64
184	83
185	105
186	79
187	90
188	70
189	72
190	82
191	74
192	96
193	51
194	104
195	106
196	89
197	66
198	72
199	59
200	85
201	90
202	65
203	65
204	74
205	48
206	52
207	130
208	87
209	6
210	65
211	1
212	75
213	98
214	105
215	83
216	104
217	95
218	30
219	73
220	106
221	74
222	106
223	92
224	82
225	14
226	69
227	61
228	31
229	75
230	70
231	79
232	72
233	99
234	118
235	84
236	96
237	98
238	67
239	55
240	66
241	39
242	52
243	115
244	103
245	103
246	75
247	91
248	75
249	112
250	30
251	81
252	71
253	71
254	108
255	9
256	102
257	5
258	68
259	40
260	77
261	54
262	64
263	36
264	48
265	38
266	92
267	63
268	80
269	53
270	71
271	75
272	72
273	1
274	68
275	50
276	51
277	72
278	1
